20.86;100235;26.56;0.0
20.69;100232;26.57;1.097
20.56;100241;26.59;2.116
20.41;100232;26.58;3.144
21.49;100235;26.59;4.159
21.07;100238;26.58;5.185
53.18;100233;29.01;6.200
58.27;100230;27.94;7.234
60.35;100239;27.44;8.247
61.87;100230;27.33;9.259
61.72;100240;27.21;10.28
69.50;100237;29.19;11.31
68.22;100236;28.38;12.33
67.84;100244;27.99;13.35
61.25;100249;26.98;14.36
54.47;100257;27.33;15.39
50.33;100284;27.59;16.40
46.77;100249;27.67;17.43
45.72;100233;27.74;18.45
41.52;100234;27.76;19.47
40.24;100240;27.84;20.49
35.28;100240;27.87;21.50
31.62;100240;27.89;22.53
28.98;100237;27.90;23.55
27.93;100235;27.92;24.56
27.03;100235;27.94;25.59
26.04;100235;27.94;26.61
25.10;100232;27.93;27.63
24.34;100241;27.94;28.64
23.68;100230;27.93;29.66
