26.42;99418;27.74;0.0
26.35;99419;27.75;2.016
26.33;99418;27.76;3.046
26.29;99422;27.77;4.066
26.33;99420;27.77;5.086
35.16;99421;27.84;6.103
35.33;99419;28.05;7.122
31.66;99422;28.35;8.145
33.30;99424;28.58;9.162
31.24;99424;28.68;10.18
30.28;99422;28.69;11.20
29.86;99424;28.65;12.21
34.12;99425;28.60;13.23
53.76;99422;28.89;14.26
60.11;99429;29.72;15.27
59.30;99431;29.41;16.30
56.69;99429;29.21;17.31
53.01;99429;29.18;18.34
49.96;99429;29.18;19.36
47.93;99432;29.15;20.39
46.56;99433;29.10;21.41
45.61;99433;29.03;22.42
44.83;99433;28.97;23.44
44.24;99434;28.91;24.47
43.79;99429;28.87;25.48
43.36;99429;28.83;26.50
42.84;99430;28.79;27.53
42.11;99433;28.76;28.55
41.68;99429;28.72;29.57
